_ID	logtime	flx	frx	rlx	rrx	pdbx	rdbx	fldx	frdx	rldx	rrdx	pfp	prp	pfdbp	prdbp	rlp	rrp	rldbp	rrdbp	steering_angle	craft_speed	pitchfrontin	pitchfrontout	pitchrearin	pitchrearout	pitchDBfrontin	pitchDBfrontout	pitchDBrearin	pitchDBrearout	pitchDBfrontacclock	pitchDBrearacclock	pitchDBfrontactivelock	pitchDBrearactivelock	rollleftin	rollleftout	rollrightin	rollrightout	rollDBleftin	rollDBleftout	rollDBrightin	rollDBrightout	rollDBleftacclock	rollDBrightacclock	rollDBleftactivelock	rollDBrightactivelock	damperFLcompression	damperFLrebound	damperFRcompression	damperFRrebound	damperRLcompression	damperRLrebound	damperRRcompression	damperRRrebound	pitchactive	rollactive	manual_active	setup_active	damping_active	active_active	dump_active	INS_Pitch	INS_Roll	INS_Yaw	INS_GyroX	INS_GyroY	INS_GyroZ	INS_Latitude	INS_Longitude	INS_Altitude	INS_VelX	INS_VelY	INS_VelZ	INS_AccX	INS_AccY	INS_AccZ	pitchProValvePressure	rollProValvePressure
0	147.6219433	251.064	290.2255	296.6746	332.8739	1.21	-8.025	-38.48763	-16.06522	12.89749	12.80975	75.104	53.7752	79.8164	20.56974	64.9674	64.87	57.84285	57.5723	-1.776169	24.80346	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	True	1526.317	290.0004	1023.86	334.7875	290	1193.089	290	430.3271	1200	1418.673	False	False	True	True	False	-0.0514	-0.0188	2.7055	0.005	0.041	-0.017	-33.60619	115.1177	37588	13620	-140	1110	-0.9857289	0	0	97.0944	96.6324
0	147.6531925	248.6008	288.619	296.3061	332.9471	1.205	-7.985	-61.5799	-40.16266	-9.212494	1.830292	75.383	53.7752	79.9754	19.95372	65.1788	64.8392	58.30893	57.3656	-1.787628	24.80346	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	True	1526.317	290.0004	1023.86	334.7875	290	1193.089	290	430.3271	1200	1418.673	False	False	True	True	False	-0.0496	-0.0186	2.7046	-0.011	0.037	-0.021	-33.60619	115.1177	37556	13590	-130	1070	-0.9949031	0	0	97.0482	96.5708
0	147.7000663	244.5981	286.3699	295.7165	331.9223	1.19	-7.93	-100.0675	-56.22711	-14.73999	-25.62027	75.724	53.8058	80.2775	19.39361	65.2996	65.024	58.01984	57.2543	-1.787628	24.80346	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	True	1560.734	290.0001	995.2213	298.9196	840.107	469.8539	290	317.9467	1200	1422.962	False	False	True	True	False	-0.048	-0.0185	2.7037	0.007	0.032	-0.02	-33.6062	115.1177	37572	13550	-130	1050	-1	0	0	97.002	96.54
0	147.7313155	239.3638	281.5504	295.6428	332.0687	1.18	-7.86	-130.8575	-120.4872	-1.842499	3.659821	76.0495	53.8364	80.7863	19.08324	65.4506	65.2858	57.74389	57.2861	-1.776169	24.80346	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	True	1592.18	290	979.3766	291.7764	935.0812	325.8186	888.1341	295.5657	1200	1421.859	False	False	True	True	False	-0.0467	-0.0177	2.7027	0.009	0.03	-0.02	-33.6062	115.1177	37588	13510	-130	1020	-1.050968	0	0	96.9712	96.6016
0	147.7781893	234.1295	276.0883	296.0113	331.9223	1.155	-7.78	-130.8575	-136.5532	9.212494	-3.659821	76.5765	53.8823	81.4382	18.39876	65.6771	65.486	57.86464	57.3338	-1.776169	24.80346	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	True	1508.057	290	933.6716	290.3538	1015.733	297.1334	409.1208	291.1084	1200	1421.676	False	False	True	True	False	-0.0455	-0.0171	2.7016	0.018	0.024	-0.028	-33.60621	115.1177	37550	13560	-110	940	-1.098879	0	0	97.002	96.54
0	147.8094385	229.511	269.9836	296.085	331.1903	1.13	-7.685	-115.4625	-152.6169	1.842499	-18.29987	77.1965	53.8976	82.2491	17.52992	65.7073	65.9326	57.23266	57.8585	-1.776169	24.80346	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	True	1537.087	290	947.5674	290.0705	434.5327	1130.17	637.4968	290.2207	1200	1420.065	False	False	True	True	False	-0.0447	-0.0159	2.7005	0.028	0.007	-0.032	-33.60621	115.1177	37561	13520	-120	880	-1.132518	0	0	97.002	96.54
0	147.8563123	225.8162	264.2002	296.0113	330.2387	1.11	-7.565	-92.37022	-144.5854	-1.842499	-23.78998	77.8165	53.9741	83.0918	16.8629	65.7073	66.3792	56.45319	58.3196	-1.776169	24.80346	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	True	1385.207	290	1261.261	290.014	318.7843	457.3233	537.192	290.0439	1200	1418.142	False	False	True	True	False	-0.0445	-0.0142	2.6992	0.043	-0.01	-0.037	-33.60622	115.1177	37517	13470	-130	800	-1.143731	0	0	96.9404	96.54
0	147.9031861	223.0451	259.0594	295.2743	327.7499	1.09	-7.26	-69.27719	-128.5202	-18.42499	-62.22	78.39	54.0659	83.7596	16.19265	65.7073	66.7796	55.78618	58.7648	-1.776169	24.80346	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	True	1410.681	290	1398.861	290.0028	1140.993	323.3231	518.362	290.0088	1200	1415.698	False	False	True	True	False	-0.0448	-0.0125	2.6978	0.039	-0.016	-0.041	-33.60622	115.1177	37524	13430	-130	760	-1.107034	0	0	96.9404	96.4784
0	147.9344353	220.8898	254.2399	294.6847	326.0663	1.07	-7.1	-53.8826	-120.4872	-14.73999	-42.08984	78.917	54.2189	84.332	15.72616	65.6771	67.1492	55.42294	59.5121	-1.776169	24.80346	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	True	1410.681	290	1398.861	290.0028	1140.993	323.3231	518.362	290.0088	1200	1415.698	False	False	True	True	False	-0.0454	-0.0105	2.6967	0.047	-0.014	-0.022	-33.60623	115.1177	37530	13380	-130	720	-1.102956	0	0	96.9096	96.54
0	147.9813091	217.8108	249.4204	293.5055	323.8703	1.055	-7.015	-76.97487	-120.4876	-29.47998	-54.90036	79.3665	54.3872	84.7772	15.39025	65.7979	67.3802	55.3553	59.7506	-1.776169	24.80346	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	True	1520.177	290	1514.528	290.0005	1300.929	296.6364	533.0988	290.0017	1200	1406.052	False	False	True	True	False	-0.0461	-0.0089	2.6955	0.038	-0.02	-0.034	-33.60624	115.1177	37472	13430	-100	680	-1.089704	0	0	96.9096	96.5092
